Title,Name [personal] (Creator),Name [personal] (Addressee),Place of Origin,Date Created,Subject - Topic,Subject - Geographic,Subject - Name [personal],Subject - Name [corporate],Abstract (Description),Biographical Information,Contributing Repository
"Letter from John Merritt to Thomas Merritt and Family, 1862 September","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-09,Soldiers--Family relationships--New York (State),"Camp Belger (Baltimore, Md.)","Davis, Jefferson, 1808-1889","United States. Army. New York Infantry Regiment, 114th (1862-1865)",Merritt writes to his family discussing camp life. He asks for news of who has been drafted and states his devotion to the Union cause.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 September 20","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-09-20,Soldiers--Family relationships--New York (State); Portrait photography,"Camp Belger (Baltimore, Md.); United States--History--Civil War, 1861-1865--Health aspects",,"United States. Army. New York Infantry Regiment, 114th (1862-1865)",Merritt describes Camp Belger and a picture he sent home of the camp. He tells of the problem of Confederate sympathizers in Baltimore.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 September 24","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-09-24,Soldiers--Family relationships--New York (State),"Camp Belger (Baltimore, Md.); United States--History--Civil War, 1861-1865--Hospitals; United States--History--Civil War, 1861-1865--Religious aspects--Christianity",,"United States. Army. New York Infantry Regiment, 114th (1862-1865); United States. Army--Sanitary affairs.",Merritt discusses other units leaving the Camp to guard hospitals in Baltimore. He describes sickness and religious services in the Camp.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt, 1862 September 28","Merritt, John",,"Camp Belger (Baltimore, Md.)",1862-09-28,Soldiers--Family relationships--New York (State),"Camp Belger (Baltimore, Md.)","Smith, Perry","United States. Army. New York Infantry Regiment, 114th (1862-1865)",Merritt asks his sisters to send him letters and informs his family that he sent some money to Perry Smith.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 October 5","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-10-05,Soldiers--Family relationships--New York (State); Portrait photography--Maryland--Baltimore.,"Camp Belger (Baltimore, Md.); United States--History--Civil War, 1861-1865--Hospitals; United States--History--Civil War, 1861-1865--Religious aspects--Christianity","Rexford, William","United States. Army. New York Infantry Regiment, 114th (1862-1865)","Merritt discusses church services in the Camp and says he will send his likeness home soon. He informs his family that his Company has a new commander, Captain William Rexford.","John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 October 15","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-10-15,Soldiers--Family relationships--New York (State),"Camp Belger (Baltimore, Md.)",,"United States. Army. New York Infantry Regiment, 114th (1862-1865); United States. Army--Pay, allowances, etc.",Merritt informs his family that he is in good health and hopes that the Rebellion ends so that he can see them again soon.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 October 22","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-10-22,Soldiers--Family relationships--New York (State); Patriotism--United States.,"Camp Belger (Baltimore, Md.); United States--History--Civil War, 1861-1865--Religious aspects--Christianity",,"United States. Army. New York Infantry Regiment, 114th (1862-1865); United States. Army--Leaves and furloughs; United States. Army--Sanitary affairs.","Merritt describes the poor conditions of health care and sanitation in the Camp, but says that he enjoys the life of a soldier. He discusses the Sunday church services and the evening prayer meetings that he attends.","John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 October 27","Merritt, John","Merritt, Thomas",Baltimore (Md.),1862-10-27,Soldiers--Family relationships--New York (State),"Baltimore (Md.)--History--Civil War, 1861-1865; United States--History--Civil War, 1861-1865--Hospitals",,"United States. Army. New York Infantry Regiment, 114th (1862-1865)",Merritt informs his family that his Company is now guarding the Camden Street Hospital near the Washington Depot. He describes guarding the sick and wounded soldiers.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 November","Merritt, John","Merritt, Thomas",Fort Monroe (Va.),1862-11,Soldiers--Family relationships--New York (State); Soldiers--Confederate States of America.,"Fort Monroe (Va.); United States--History--Civil War, 1861-1865--African Americans",,"United States. Army. New York Infantry Regiment, 114th (1862-1865); United States. Army--Sanitary affairs.",Merritt examines Fort Monroe and the Fort graveyard noting that the gravestones were destroyed by rebel cannon. He tells his family that he has seen few confederates or Blacks. He further describes the local hospitals and the unsanitary conditions present whilst living on a ship.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from John Merritt to Thomas Merritt and Family, 1862 November 3","Merritt, John","Merritt, Thomas","Camp Belger (Baltimore, Md.)",1862-11-03,Soldiers--Family relationships--New York (State),"Camp Belger (Baltimore, Md.); United States--History--Civil War, 1861-1865--Religious aspects--Christianity; United States--History--Civil War, 1861-1865--Hospitals",,"United States. Army. New York Infantry Regiment, 114th (1862-1865)",Merritt tells his family that he is back at Camp Belger from guarding local hospitals. He expects that his regiment will soon leave for Texas.,"John Merritt was a Union soldier from Madison County, New York. He enlisted as a private on August 9, 1862, Company D, 114th Regiment infantry, New York Volunteers.  He served in several Louisiana campaigns. He was probably wounded in the battle of Opequon, Va., September 19, 1864.  He was mustered out on June 8, 1865.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
